time	V(n004)
1.753215676551914e-02	2.067603e+00
1.756836796559401e-02	2.062283e+00
1.760269760141360e-02	2.062237e+00
1.764366048995343e-02	2.068582e+00
1.769659445912534e-02	2.087375e+00
1.778235372573898e-02	2.141583e+00
1.791865057005211e-02	2.260012e+00
1.792867382961301e-02	2.270570e+00
1.794872034873480e-02	2.294395e+00
1.798881338697839e-02	2.343799e+00
1.799883664653928e-02	2.356596e+00
1.801888316566108e-02	2.382954e+00
1.803135406454900e-02	2.399596e+00
1.803650453678107e-02	2.406552e+00
1.803964141052545e-02	2.410814e+00
1.804156861172057e-02	2.413440e+00
1.804271583495213e-02	2.415006e+00
1.804347408657439e-02	2.416043e+00
1.804399881661571e-02	2.416760e+00
1.804445222683793e-02	2.417381e+00
1.804492579784948e-02	2.418029e+00
1.804548362678365e-02	2.418794e+00
1.804617402853931e-02	2.419740e+00
1.804683443275778e-02	2.420646e+00
1.804748833763877e-02	2.421543e+00
1.804812637313660e-02	2.422419e+00
1.804873255158140e-02	2.423252e+00
1.804932783242027e-02	2.424070e+00
1.804990978366926e-02	2.424871e+00
1.805049531900046e-02	2.425677e+00
1.805109928155667e-02	2.426509e+00
1.805173994612424e-02	2.427392e+00
1.805244584959352e-02	2.428365e+00
1.805324970309713e-02	2.429474e+00
1.805420158375546e-02	2.430789e+00
1.805536767831764e-02	2.432401e+00
1.805684628780098e-02	2.434448e+00
1.805877254817568e-02	2.437118e+00
1.806135278007069e-02	2.440702e+00
1.806485862491436e-02	2.445585e+00
1.806890182398846e-02	2.451231e+00
1.807181006978537e-02	2.455303e+00
1.807502008428305e-02	2.459808e+00
1.807648019539971e-02	2.461861e+00
1.807828214401198e-02	2.464398e+00
1.807974380709786e-02	2.466459e+00
1.808165171101977e-02	2.469152e+00
1.808955144979357e-02	2.480344e+00
1.809771931165349e-02	2.491988e+00
1.811405503537332e-02	2.515448e+00
1.814672648281299e-02	2.562757e+00
1.821206937769232e-02	2.657151e+00
1.830149006182149e-02	2.779782e+00
1.845337930538588e-02	2.964395e+00
1.854729800272132e-02	3.056273e+00
1.861134255955861e-02	3.102155e+00
1.865771959930889e-02	3.125871e+00
1.869233510419463e-02	3.137661e+00
1.873369197869594e-02	3.145247e+00
1.877802604878140e-02	3.146125e+00
1.882970863003047e-02	3.136413e+00
1.891347760050017e-02	3.105537e+00
1.892949054257564e-02	3.097049e+00
1.896151642672660e-02	3.076018e+00
1.897841028207534e-02	3.063807e+00
1.899671058922852e-02	3.049492e+00
1.900634265416066e-02	3.041584e+00
1.901375069053499e-02	3.035295e+00
1.901702389608543e-02	3.032461e+00
1.902047163424102e-02	3.029434e+00
1.902363865401315e-02	3.026618e+00
1.902997269355740e-02	3.020897e+00
1.903777145901074e-02	3.013701e+00
1.904973442264669e-02	3.002295e+00
1.907133885534214e-02	2.980639e+00
1.911057278861014e-02	2.938173e+00
1.918904065514615e-02	2.845355e+00
1.929864112784408e-02	2.707127e+00
1.935504098291693e-02	2.634166e+00
1.939800936449377e-02	2.579042e+00
1.944224461885500e-02	2.524015e+00
1.948351588611156e-02	2.475199e+00
1.953573882753661e-02	2.419146e+00
1.962792731515475e-02	2.337093e+00
1.973856635856682e-02	2.263107e+00
1.978735287747225e-02	2.242082e+00
1.982363250456865e-02	2.234098e+00
1.986389784530169e-02	2.231796e+00
1.991209535371893e-02	2.237047e+00
1.996234034469219e-02	2.252912e+00
2.004381857841402e-02	2.301065e+00
2.017374644242501e-02	2.408246e+00
2.018979651121996e-02	2.424487e+00
2.021165648847009e-02	2.449279e+00
2.021931694797519e-02	2.458199e+00
2.022429724030338e-02	2.464108e+00
2.022790702191623e-02	2.468429e+00
2.023034792745589e-02	2.471368e+00
2.023195067338494e-02	2.473305e+00
